no,content,category
1,校舍以及各教學區，有標示清楚危險地區，禁止師生進入,Key_Points
2,校舍建築修繕時，應注意安全圍籬及警告標示以維安全,Key_Points
3,學校應備有急救物品，並定有送醫管道以應意外傷害發生即時救助,Key_Points
4,承辦人定期檢查並送組長查核，每週送主任查核，每月送校長查核,Key_Points
5,確實執行公務保管制度，實施定期與不定期保養及維修以常保安全,Key_Points
6,確實依法執行修繕辦法,Key_Points
7,校舍空間無閒置情形,Key_Points
8,逃生與疏散路線是否推積雜物影響通行,Key_Points
9,危險物品儲放及管理是否符合安全,Key_Points
10,校園內無地坪滑動、塌陷現象,Key_Points
11,擋土牆、邊坡無裂縫或傾斜,Key_Points
12,無基礎下陷或建築物傾斜的現象,Key_Points
13,校門門鎖警示及斷電系統無損壞，操作使用正常,Indoors
14,樓梯門、電動門（鐵捲門）無損壞故障，使用正常，電動門啟動時是否有警示管理,Indoors
15,各類門鎖（教室、倉庫）無損壞故障，使用正常,Indoors
16,窗戶框無損壞故障或是變形現象，使用正常,Indoors
17,窗戶玻璃無破損現象，能抵擋風雨,Indoors
18,安裝防盜設施者，無鏽損及斷裂現象,Indoors
19,外牆是否無外磚剝落、0.3cm以上之裂縫、油漆剝落或是滲水現象,Indoors
20,內牆無出現裂縫現象,Indoors
21,圍牆無傾斜及裂縫或混凝土剝落現象,Indoors
22,樑無傾斜及龜裂現象,Indoors
23,天花板無呈現龜裂、鋼筋外漏或鏽蝕現象,Indoors
24,天花板無漏水、混凝土剝落及明顯變形或0.3cm以上之裂縫現象,Indoors
25,天花板油漆無脫落或掉落水泥塊,Indoors
26,天花板材質材料未被白蟻侵入或破壞,Indoors
27,室內懸吊物（燈具、吊扇、影視設備）是否鬆脫,Indoors
28,柱無傾斜、龜裂、混凝土剝落及鋼筋外漏或鏽蝕現象,Indoors
29,柱與地面無裂縫現象或柱本身無明顯變形或0.3cm以上之裂縫,Indoors
30,走廊柱無銳角,Indoors
31,各樓層教室地面平坦，無裂縫凹洞現象,Indoors
32,木質地板無破損現象,Indoors
33,鐵質和不鏽鋼質欄杆無斷裂現象,Corridor
34,水泥欄杆無裂縫及傾斜現象,Corridor
35,木質欄杆無腐爛現象,Corridor
36,欄杆裝設無鬆動現象,Corridor
37,樓梯扶手無斷裂破損現象,Corridor
38,樓梯扶手間距符合規定（10公分以下）,Corridor
39,樓梯的地面無裂縫現象,Corridor
40,樓梯間有裝置照明設備，以策安全,Corridor
41,樓梯間有明顯標示及標線,Corridor
42,走廊地面平坦，無裂縫凹洞現象,Corridor
43,走廊的寬度均能合乎標準，且動線標示清楚,Corridor
44,校舍多次增建，走廊階間銜接處密實而安全,Corridor
45,走廊排水正常未見積水現象,Corridor
46,地基牢固而無流失及毀損現象,Outdoors
47,地基未受其他建築校舍之影響而有所改變,Outdoors
48,地下室無積水且牆壁或地坪無裂縫、拱起、滲水等現象,Outdoors
49,屋頂使用（如空中花園）未影響校舍建築安全,Outdoors
50,屋頂漏水防水層表面是否損壞（如長雜草等）,Outdoors
51,屋頂無裂縫及倒塌現象,Outdoors
52,屋頂的四周安全圍籬、圍牆或欄杆無損壞,Outdoors
53,地坪無0.3cm以上之裂縫,Outdoors
54,排水口無阻塞積水現象,Outdoors
55,女兒牆無0.3cm以上之裂縫或傾斜,Outdoors
56,水塔是否有裂縫,Outdoors
57,水塔固定設施是否鬆脫,Outdoors
58,鋼棚是否鏽蝕或螺栓鬆脫,Outdoors
59,屋頂通道門是否有變形,Outdoors
60,水、電、網路等線路無毀損現象,Outdoors
61,電箱或管道間無損壞現象,Outdoors
62,電源線路開關及插座是否祼露及不平常狀況,Outdoors
63,警報及照明設施是否正常良好,Outdoors
64,滅火器及消防箱（栓）相關設備是否正常良好,Outdoors
