no,content,category,number
1,校舍以及各教學區，有標示清楚危險地區，禁止師生進入,Normal,1
2,校舍建築修繕時，應注意安全圍籬及警告標示以維安全,Normal,2
3,學校應備有急救物品，並定有送醫管道以應意外傷害發生即時救助,Normal,3
4,承辦人定期檢查並送組長查核，每週送主任查核，每月送校長查核,Normal,4
5,確實執行公務保管制度，實施定期與不定期保養及維修以常保安全,Normal,5
6,確實依法執行修繕辦法,Normal,6
7,校舍空間無閒置情形,Normal,7
8,逃生與疏散路線是否推積雜物影響通行,Normal,8
9,危險物品儲放及管理是否符合安全,Normal,9
10,校園內無地坪滑動、塌陷現象,Normal,10
11,擋土牆、邊坡無裂縫或傾斜,Normal,11
12,無基礎下陷或建築物傾斜的現象,Normal,12
13,校門門鎖警示及斷電系統無損壞，操作使用正常,Indoors,1
14,樓梯門、電動門（鐵捲門）無損壞故障，使用正常，電動門啟動時是否有警示管理,Indoors,2
15,各類門鎖（教室、倉庫）無損壞故障，使用正常,Indoors,3
16,窗戶框無損壞故障或是變形現象，使用正常,Indoors,4
17,窗戶玻璃無破損現象，能抵擋風雨,Indoors,5
18,安裝防盜設施者，無鏽損及斷裂現象,Indoors,6
19,外牆是否無外磚剝落、0.3cm以上之裂縫、油漆剝落或是滲水現象,Indoors,7
20,內牆無出現裂縫現象,Indoors,8
21,圍牆無傾斜及裂縫或混凝土剝落現象,Indoors,9
22,樑無傾斜及龜裂現象,Indoors,10
23,天花板無呈現龜裂、鋼筋外漏或鏽蝕現象,Indoors,11
24,天花板無漏水、混凝土剝落及明顯變形或0.3cm以上之裂縫現象,Indoors,12
25,天花板油漆無脫落或掉落水泥塊,Indoors,13
26,天花板材質材料未被白蟻侵入或破壞,Indoors,14
27,室內懸吊物（燈具、吊扇、影視設備）是否鬆脫,Indoors,15
28,柱無傾斜、龜裂、混凝土剝落及鋼筋外漏或鏽蝕現象,Indoors,16
29,柱與地面無裂縫現象或柱本身無明顯變形或0.3cm以上之裂縫,Indoors,17
30,走廊柱無銳角,Indoors,18
31,各樓層教室地面平坦，無裂縫凹洞現象,Indoors,19
32,木質地板無破損現象,Indoors,20
33,鐵質和不鏽鋼質欄杆無斷裂現象,Corridor,1
34,水泥欄杆無裂縫及傾斜現象,Corridor,2
35,木質欄杆無腐爛現象,Corridor,3
36,欄杆裝設無鬆動現象,Corridor,4
37,樓梯扶手無斷裂破損現象,Corridor,5
38,樓梯扶手間距符合規定（10公分以下）,Corridor,6
39,樓梯的地面無裂縫現象,Corridor,7
40,樓梯間有裝置照明設備，以策安全,Corridor,8
41,樓梯間有明顯標示及標線,Corridor,9
42,走廊地面平坦，無裂縫凹洞現象,Corridor,10
43,走廊的寬度均能合乎標準，且動線標示清楚,Corridor,11
44,校舍多次增建，走廊階間銜接處密實而安全,Corridor,12
45,走廊排水正常未見積水現象,Corridor,13
46,地基牢固而無流失及毀損現象,Outdoors,1
47,地基未受其他建築校舍之影響而有所改變,Outdoors,2
48,地下室無積水且牆壁或地坪無裂縫、拱起、滲水等現象,Outdoors,3
49,屋頂使用（如空中花園）未影響校舍建築安全,Outdoors,4
50,屋頂漏水防水層表面是否損壞（如長雜草等）,Outdoors,5
51,屋頂無裂縫及倒塌現象,Outdoors,6
52,屋頂的四周安全圍籬、圍牆或欄杆無損壞,Outdoors,7
53,地坪無0.3cm以上之裂縫,Outdoors,8
54,排水口無阻塞積水現象,Outdoors,9
55,女兒牆無0.3cm以上之裂縫或傾斜,Outdoors,10
56,水塔是否有裂縫,Outdoors,11
57,水塔固定設施是否鬆脫,Outdoors,12
58,鋼棚是否鏽蝕或螺栓鬆脫,Outdoors,13
59,屋頂通道門是否有變形,Outdoors,14
60,水、電、網路等線路無毀損現象,Outdoors,15
61,電箱或管道間無損壞現象,Outdoors,16
62,電源線路開關及插座是否祼露及不平常狀況,Outdoors,17
63,警報及照明設施是否正常良好,Outdoors,18
64,滅火器及消防箱（栓）相關設備是否正常良好,Outdoors,19
65,逃生與疏散路線是否推積雜物影響通行,Quick,1
66,危險物品儲放及管理是否符合安全,Quick,2
67,樓梯門、電動門（鐵捲門）無損壞故障，使用正常，電動門啟動時是否有警示管理,Quick,3
68,各類門鎖（教室、倉庫）無損壞故障，使用正常,Quick,4
69,室內懸吊物（燈具、吊扇、影視設備）是否鬆脫,Quick,5
70,屋頂漏水防水層表面是否損壞（如長雜草等）,Quick,6
71,水塔是否有裂縫,Quick,7
72,水塔固定設施是否鬆脫,Quick,8
73,鋼棚是否鏽蝕或螺栓鬆脫,Quick,9
74,屋頂通道門是否有變形,Quick,10
75,電源線路開關及插座是否祼露及不平常狀況,Quick,11
76,警報及照明設施是否正常良好,Quick,12
77,滅火器及消防箱（栓）相關設備是否正常良好,Quick,13
